osm_name,operator_ref,lat,lon,nbs_booth,booth_node_id
Saint-Jean-les-Deux-Jumeaux,18,48.9523886,3.0390884,3,"[259083764, 4421111789, 4421111790]"
Péage de Corzé-Angers,Péage de Corzé-Angers,47.5393628,-0.3410345,4,"[259093186, 1157490221, 1157490222, 1157490224]"
Coudoux,28,43.5523405,5.2383307,3,"[259970703, 259970749, 10616130411]"
Courtenay,17,48.0597651,3.0952651,2,"[260171882, 1820928798]"
Chesnes,3071,45.6556504,5.0979386,2,"[260490708, 260490725]"
Castelsarrasin,9,44.0557632,1.0973520,3,"[261761245, 513660073, 513660085]"
Péage de Jules Verne,Péage de Jules Verne,49.8590510,2.3968010,2,"[262861318, 3836267226]"
Chartres Est,2,48.4551129,1.5391447,4,"[264064866, 1375535641, 1375535646, 1375535663]"
Saint-Gibrien,17,48.9735998,4.2886495,2,"[264756447, 1042719181]"
Laval Est,3,48.1076995,-0.7384822,3,"[264788441, 275173451, 4876868264]"
Albert,13.1,49.9656825,2.8632864,2,"[264993278, 1200494231]"
Saint-Michel-Barrière,056,45.2185643,6.4597601,10,"[267165980, 267166028, 1154852457, 5923855978, 5923857296, 5923857297, 5923857298, 5923857299, 5923857300, 5923857301]"
Péage de Beaulieu-sur-Layon,Péage-de-Beaulieu-sur-Layon,47.3263959,-0.6040156,2,"[267167000, 274207796]"
Argentan,Argentan,48.6328851,0.1909656,2,"[268212668, 268212669]"
Sées,17,48.6352041,0.1871255,5,"[270111794, 270111802, 1260038730, 2508032317, 4357543559]"
Aumale,12,49.7583523,1.6994479,4,"[270355986, 289611179, 1433638219, 3372819625]"
Bapaume,14,50.1041936,2.8678414,2,"[270370119, 3376518340]"
Futuroscope,28,46.6701286,0.3599572,2,"[270647374, 2630513392]"
Péronne-Vallée de la Somme,13,49.8769736,2.8397676,1,[270671520]
Tarbes Est,13,43.2137336,0.1083677,2,"[272505901, 388295686]"
Saint-Paul-lès-Durance,17,43.7025533,5.7346613,2,"[273224399, 383210589]"
Langon,3,44.5443191,-0.2620828,2,"[276335332, 276335747]"
Belleville-Sur-Saône,30,46.1038175,4.7502931,2,"[276599460, 392059515]"
Orange Sud,22,44.1109575,4.8452452,2,"[277281847, 8349621741]"
La Rochelle-Niort Sud,33,46.2441045,-0.4606127,8,"[277398779, 5242792759, 5242792767, 5540214860, 5540214861, 5540214862, 5540214863, 5540214864]"
Orange nord,20,44.1642263,4.7645828,1,[277451985]
Péage de Lestelle,Péage de Lestelle,43.1195337,0.8947521,3,"[277617392, 277910939, 290614344]"
Saint-Gaudens,18,43.1156846,0.7566067,1,[277820265]
Les Essarts,5,46.7903968,-1.1946328,6,"[279128148, 824250288, 4003306365, 4003306366, 4003306367, 4422608089]"
Saint-Pierre-d'Albigny,3032Saint-Pierre-d'Albigny,45.5488777,6.1599137,2,"[279140830, 412092432]"
Fontenay Centre,8,46.4359963,-0.8214534,5,"[279217857, 4001244320, 4001244321, 4001244322, 4001244323]"
Beaune Nord,24,47.0419741,4.8506230,2,"[279341406, 711774392]"
Péage de Biriatou,Péage de Biriatou,43.3411150,-1.7495127,2,"[280351090, 2950398495]"
Etaples-Le Touquet,26,50.5068358,1.6797916,2,"[280985131, 302017374]"
Montrejeau,17,43.1001591,0.5953613,2,"[281410101, 1561101896]"
Poitiers Nord,29,46.6215062,0.3437828,1,[282069502]
Écommoy,25,47.8203700,0.3016977,1,[282351799]
Thiers Est,30,45.8787911,3.6248586,2,"[285818973, 4422919911]"
Lezoux,28,45.8485714,3.3836160,2,"[285839327, 295028548]"
Souillac,55,44.9006891,1.5043301,2,"[286851357, 2155986155]"
Laval Ouest,4,48.1045802,-0.8343026,2,"[287697090, 2782616479]"
Saint-Julien-Sancy,25,45.6663047,2.6824524,2,"[288149616, 444805506]"
La Réole,4,44.5114169,-0.0495015,2,"[288894155, 1451196227]"
Péage d'Amblainville,Péage d'Amblainville,49.2052597,2.1690154,2,"[288919698, 288919803]"
Marmande,5,44.4347709,0.1328803,2,"[288922361, 1451223683]"
Hardivilliers,16,49.6096434,2.2043514,2,"[288947708, 340075349]"
Pontcharra,3024,45.4258536,5.9951768,2,"[289258237, 289258239]"
Pourrières,33,43.4785938,5.7563416,2,"[289381861, 1146528641]"
Bierre-lès-Semur,23,47.4365874,4.3094972,2,"[289537324, 289537367]"
Chalon Sud,26,46.7547680,4.8331365,8,"[289537479, 720744291, 2385481454, 2385481455, 2385481456, 2385481457, 2385483658, 2385483659]"
Bulgneville,9,48.2157812,5.8325029,1,[289635259]
Sisteron Sud,22,44.1716779,5.9554018,4,"[289883367, 571659009, 8130071901, 8130071910]"
Seiches-sur-Le-Loir,12,47.5664551,-0.3279756,2,"[290812844, 7171485717]"
