name;osm_name;operator_ref;lat;lon;nbs_booth;booth_node_id;booth_way_id;type;operator_osm
ST MARTIN DU FRESNE;Saint-Martin-du-Fresne;8;46.1324281;5.5415206;1;[410246295];;close;APRR
ST ROMAIN SUR CHER;Saint-Aignan-sur-Cher;12;47.3065782;1.3531066;2;[1405976152, 1405976248];;close;APRR
ST DENIS LES SENS;Saint-Denis-lès-Sens;1;48.2369888;3.2622010;8;[332248643, 924440768, 6134878380, 6134878383, 6134878384, 6134879085, 6134879086, 6134879090];;close;APRR
ST GERMAIN LAXIS;Saint-Germain-Laxis;15;48.5880155;2.7247238;2;[690686570, 1477388127];;close;APRR
STE MENEHOULD;Sainte Menehould;29;49.0763749;4.8837392;2;[21528882, 310301329];;close;APRR
SYLANS SUD;Sylans;9;46.1585737;5.6483351;2;[292356937, 292356996];;close;APRR
THENNELIERES;Thennelières;23;48.2893420;4.1629475;2;[502976800, 1049830277];;close;APRR
TIL CHATEL;Til-Châtel;5;47.5387434;5.1947119;2;[839038429, 6017249052];;close;APRR
TORVILLIERS;Torvilliers;20;48.2844446;3.9659530;2;[4189960633, 4189960634];;close;APRR
TOURNUS;Tournus;27;46.5790969;4.9011715;2;[211475830, 258942957];;close;APRR
PEAGE DE MONNAIE;Péage de Monnaie;;47.4903389;0.8194191;2;[306622478, 306622595];;close;APRR
TULLE EST;Tulle Est;21;45.3181188;1.8503589;2;[3922204754, 3922204755];;close;APRR
TULLE NORD;Tulle Nord;20;45.3290189;1.7639661;1;[1125653080];;close;APRR
URY;Ury;14;48.3386340;2.5954312;2;[28870546, 28870547];;close;APRR
USSEL EST;Ussel Est;24;45.5889363;2.4145518;2;[944248712, 944248772];;close;APRR
USSEL OUEST;Ussel Ouest;23;45.5124063;2.2588909;2;[705563120, 4422912952];;close;APRR
PEAGE DE VAL DE LOING BARRIERE;Val-de-Loing Barrière;17;48.1763308;2.7668822;2;[247393077, 247393080];;close;APRR
VAL DE LOING SOUPPES;Val-de-Loing-Souppes;17;48.1763227;2.7668025;2;[35665218, 35665220];;close;APRR
PEAGE DE VAL DE SAONE;Péage Val de Saône;Péage Val de Saône;46.2953901;4.8978335;2;[291747385, 471330156];;close;APRR
VALLEE DE L AUBE;Vallée-de-l'Aube;21;48.5254684;4.1855778;2;[1695359055, 1695359059];;close;APRR
VATRY;Vatry;19;48.7676355;4.2399554;2;[1344207311, 1344207363];;close;APRR
PEAGE DE VEIGNE;Péage de Veigné;Péage de Veigné;47.3120032;0.7352858;2;[1911871879, 1911871885];;close;APRR
VERDUN;Verdun;31;49.1109692;5.4138552;1;[230233305];;close;APRR
VICHY;Vichy;Vichy;46.1384815;3.3513550;2;[4851705508, 4851705509];;open;APRR
VIERZON EST;Vierzon Est;6;47.2118385;2.1184157;2;[303191561, 369043557];;close;APRR
VIERZON NORD;Vierzon Nord;5;47.2438063;2.0644035;2;[26265822, 482593907];;close;APRR
VILLE SOUS LA FERTE;Ville-sous-la-Ferté;23;48.1149682;4.7855547;1;[511062430];;close;APRR
VILLEFRANCHE SUR CHER;Romorantin;14;47.3245608;1.7656674;2;[58917023, 1902659897];;close;APRR
PEAGE DE VILLEFRANCHE LIMAS;Péage de Villefranche-Limas;Péage de Villefranche-Limas;45.9732236;4.7324254;2;[2408730593, 2408730611];;close;APRR
VILLEFRANCHE NORD;Villefranche Nord;31.1;46.0223536;4.7220235;2;[256748954, 290195298];;close;APRR
VILLENEUVE DONDAGRE;Villeneuve-Dondagre;2;48.1496404;3.1713746;2;[3296768915, 3296768950];;close;APRR
VIRIAT;Viriat;6;46.2357293;5.2734836;2;[1330238093, 1330238094];;close;APRR
PEAGE DE VIRY;Péage de Viry;Péage de Viry;46.1200143;6.0095423;2;[21700511, 21700610];;close;APRR
VOIE SACREE;Voie-Sacrée;30;49.0938355;5.2784389;2;[1575874816, 5636803321];;close;APRR
VULAINES;Vulaines;19;48.2377942;3.6012971;2;[331203148, 828930660];;close;APRR
VULCANIA BROMONT;Vulcania-Bromont;26;45.8339019;2.8226170;1;[4255789073];;close;APRR
